Sale_ID,Customer_ID,Car_ID,Sale_Date,Quantity,Sale_Price,Payment_Method,Salesperson
S00001,CU1241,C0214,2025-03-28,3,73293.19,Installment,Ashley Ramos
S00002,CU0100,C0202,2024-02-12,3,32681.2,Cash,Pamela Blair
S00003,CU1690,C0228,2023-02-26,2,53530.92,Credit,Sergio Lee
S00004,CU0534,C0231,2024-06-21,1,89816.61,Cash,Mary Johnston
S00005,CU1153,C0071,2023-12-21,2,77590.86,Installment,Ricardo Garcia
S00006,CU0878,C0319,2025-06-26,2,79567.24,Cash,Chelsea Gonzalez
S00007,CU1113,C0102,2025-07-08,2,65470.0,Credit,Carol Lopez
S00008,CU1144,C0041,2025-02-16,3,98436.54,Cash,Alexa Edwards
S00009,CU0134,C0191,2024-12-26,1,79282.57,Installment,Joe Goodwin
S00010,CU1380,C0413,2025-02-01,3,59004.55,Installment,Chase Harrison
S00011,CU1361,C0014,2023-02-14,2,60687.78,Credit,Molly Charles
S00012,CU1155,C0163,2025-08-18,3,60037.64,Cash,John Kemp
S00013,CU1392,C0302,2023-03-23,3,46668.56,Installment,Brian Austin
S00014,CU1229,C0451,2022-12-28,1,34807.99,Credit,Ronald Harmon
S00015,CU0436,C0176,2024-02-22,3,18527.23,Credit,Dr. Lee Davis PhD
S00016,CU1355,C0324,2025-08-14,1,15500.29,Installment,Michael Hernandez
S00017,CU1241,C0386,2025-05-23,2,63125.22,Credit,Jon King
S00018,CU1280,C0260,2023-04-10,2,55074.32,Cash,Jonathan Woods
S00019,CU1102,C0165,2025-04-30,3,66402.96,Credit,Margaret Jones
S00020,CU1017,C0343,2025-05-27,2,66795.37,Cash,Erika Atkinson
S00021,CU0845,C0050,2025-06-15,3,34194.9,Installment,Kevin Howard
S00022,CU0145,C0276,2025-10-06,3,82650.53,Installment,Daniel Olson
S00023,CU1526,C0280,2023-07-13,3,30023.38,Credit,Joel Martinez
S00024,CU1117,C0208,2025-07-25,2,90218.32,Cash,Lisa Johnson
S00025,CU0813,C0447,2023-12-13,3,20706.91,Cash,Brittany Anderson
S00026,CU0761,C0335,2025-03-05,3,26311.74,Installment,Billy Baird
S00027,CU0318,C0157,2025-02-26,1,78872.95,Installment,Bradley Smith
S00028,CU1026,C0101,2025-01-11,2,41063.38,Installment,James Webb
S00029,CU0521,C0173,2024-09-04,1,91986.69,Cash,Deborah Sullivan
S00030,CU0926,C0235,2024-10-30,2,16920.05,Cash,Ashley Hogan
S00031,CU1198,C0231,2023-11-16,2,23320.89,Credit,Jason Ortiz
S00032,CU1031,C0148,2025-03-11,1,88621.82,Credit,Alexis Rodriguez
S00033,CU0650,C0003,2023-10-19,2,61078.91,Cash,Scott Anderson
S00034,CU0536,C0337,2025-04-26,3,85287.18,Credit,John Liu
S00035,CU1251,C0476,2024-06-21,1,46381.61,Installment,Maureen Sims
S00036,CU0138,C0359,2025-02-06,2,24594.51,Installment,Elizabeth Gomez
S00037,CU1936,C0466,2023-08-02,2,58239.58,Cash,Clarence Shaw
S00038,CU1142,C0196,2024-06-24,1,28600.57,Credit,Lisa Scott
S00039,CU1936,C0482,2025-03-19,3,86245.8,Installment,Molly Olson
S00040,CU0680,C0433,2025-09-03,1,54485.38,Installment,James Combs
S00041,CU0329,C0017,2024-05-17,1,27260.61,Credit,Nicole Martin
S00042,CU1752,C0263,2023-06-05,3,55112.22,Installment,Kristen Cummings
S00043,CU1563,C0237,2024-05-23,2,25490.41,Installment,Barry Hancock
S00044,CU1454,C0109,2023-01-08,3,28885.18,Installment,Jerry Clayton
S00045,CU1943,C0282,2024-09-07,1,96872.63,Installment,Michael Kim
S00046,CU0988,C0452,2023-06-04,3,86184.69,Cash,Erica Duarte
S00047,CU0027,C0123,2023-09-04,1,15742.7,Cash,Lisa Thompson
S00048,CU0218,C0223,2023-01-05,2,54596.63,Credit,Ryan Rogers
S00049,CU1891,C0464,2023-12-24,2,41594.57,Cash,Manuel Williams
S00050,CU0473,C0430,2025-08-25,1,43961.19,Installment,Scott Cooper
S00051,CU0368,C0063,2023-05-28,3,44495.82,Installment,Amanda Sparks
S00052,CU0480,C0454,2023-01-09,2,87401.35,Installment,Michael Washington
S00053,CU1387,C0252,2023-11-21,3,82094.53,Installment,Melvin Pope
S00054,CU0550,C0114,2022-12-07,3,60514.12,Credit,Gregory Washington
S00055,CU1705,C0107,2023-12-27,3,44281.88,Cash,Timothy Williams
S00056,CU0057,C0189,2025-03-26,1,36971.49,Credit,Mr. Mario Hernandez
S00057,CU1003,C0182,2023-05-24,2,65085.02,Cash,Amanda James
S00058,CU0487,C0077,2024-09-03,2,59716.75,Cash,Amanda Johnson
S00059,CU1471,C0236,2023-05-06,2,69039.52,Credit,Kimberly Schroeder
S00060,CU1643,C0273,2023-01-09,2,47679.46,Installment,Kevin Gonzalez
S00061,CU0201,C0055,2023-01-09,2,86073.67,Cash,Jessica Sandoval
S00062,CU0360,C0018,2025-01-21,2,32339.5,Cash,Yolanda Howard
S00063,CU1141,C0301,2025-03-28,3,63628.45,Cash,James Adams
S00064,CU1401,C0499,2025-04-19,3,83399.31,Credit,Kimberly Carter
S00065,CU0879,C0323,2025-04-06,2,41831.58,Installment,Sandra Alvarado
S00066,CU0826,C0113,2024-03-08,3,47019.87,Installment,Angela Torres
S00067,CU0691,C0047,2025-09-22,2,62600.77,Cash,Austin Johnson
S00068,CU1088,C0338,2023-11-24,1,46030.82,Installment,Elizabeth Morrow
S00069,CU1456,C0414,2025-09-20,3,42075.89,Credit,David Summers
S00070,CU1431,C0239,2025-02-09,2,92096.1,Credit,Jeffrey Salinas
S00071,CU0461,C0464,2023-12-17,3,46237.32,Credit,Tim Harris
S00072,CU0585,C0424,2024-01-16,3,91637.1,Credit,Bianca Price
S00073,CU1279,C0347,2023-07-13,2,61290.03,Credit,Thomas Smith
S00074,CU1528,C0477,2025-01-14,3,62848.91,Credit,Isaac Cox
S00075,CU1080,C0060,2023-08-31,2,96661.06,Credit,James Wilkins
S00076,CU0824,C0031,2024-12-16,3,77832.61,Credit,Steven Morgan
S00077,CU1066,C0154,2023-04-27,2,16960.36,Cash,Barbara Cameron
S00078,CU1957,C0281,2023-09-10,1,59740.43,Credit,Richard Lin
S00079,CU0336,C0418,2024-05-11,1,30579.52,Installment,John Shaffer
S00080,CU0240,C0378,2025-03-17,1,92463.6,Cash,Catherine Jackson
S00081,CU0102,C0011,2023-04-28,2,46632.8,Cash,Jared Morris
S00082,CU1861,C0056,2025-06-16,3,65431.15,Cash,Denise Sanders
S00083,CU1789,C0252,2023-10-25,1,21662.58,Credit,Taylor Nguyen
S00084,CU1413,C0202,2024-09-26,3,45159.79,Installment,Margaret Mckinney
S00085,CU1996,C0072,2023-12-18,2,66692.85,Credit,Joanna Franklin
S00086,CU1555,C0458,2023-01-16,3,97627.89,Installment,Jason Hickman
S00087,CU0669,C0001,2024-09-25,2,34314.01,Cash,Annette Murray
S00088,CU1776,C0372,2025-05-06,1,39334.0,Installment,Sabrina Baxter
S00089,CU0792,C0176,2024-10-17,1,74746.72,Credit,Colleen Brooks
S00090,CU0593,C0029,2024-10-21,2,93571.47,Credit,Andrew Stephenson
S00091,CU1653,C0221,2023-10-17,1,31017.08,Cash,Jasmine Berg
S00092,CU0648,C0268,2023-05-07,3,24370.18,Credit,Jocelyn Espinoza DDS
S00093,CU0131,C0336,2023-04-19,3,17718.67,Installment,George Clark
S00094,CU1147,C0394,2023-03-02,1,36683.52,Installment,Ms. Heather Martinez
S00095,CU1259,C0075,2024-06-30,3,81083.6,Cash,Miss Susan Taylor
S00096,CU0993,C0147,2025-06-04,3,51775.56,Cash,Christine Gross
S00097,CU0288,C0057,2023-12-16,3,67193.37,Credit,Melanie Palmer
S00098,CU1159,C0379,2025-03-03,2,85320.65,Credit,Gloria Young
S00099,CU1251,C0328,2023-08-01,3,21809.95,Installment,Dr. James Huber DDS
S00100,CU1908,C0462,2023-09-04,3,24417.15,Installment,Kristen Rodriguez
S00101,CU0389,C0396,2023-05-07,3,64133.24,Installment,Ruben Johnson
S00102,CU1417,C0065,2024-02-28,1,43519.28,Cash,Kimberly Allen
S00103,CU1346,C0012,2023-02-13,1,70160.58,Installment,John Duran
S00104,CU0657,C0350,2024-06-26,3,67054.64,Credit,Jason Perez
S00105,CU1097,C0182,2025-10-06,1,84527.27,Credit,Maureen Gutierrez
S00106,CU0933,C0453,2024-02-23,2,84365.39,Credit,Jessica Pacheco
S00107,CU0685,C0192,2025-08-10,2,45673.21,Installment,James Kidd
S00108,CU0217,C0042,2024-08-06,1,56387.2,Cash,Bradley Davila
S00109,CU0454,C0108,2023-06-13,3,56304.54,Credit,Bruce Griffith
S00110,CU1214,C0271,2025-02-13,1,59500.85,Installment,Sean Arnold
S00111,CU0295,C0370,2024-06-29,3,91719.09,Credit,Amber Reyes
S00112,CU0243,C0487,2025-01-11,1,45253.03,Installment,Kristina Fox
S00113,CU1227,C0388,2024-04-25,3,50982.3,Cash,Laura Williams
S00114,CU0341,C0191,2025-06-06,1,64231.05,Credit,Larry Cruz
S00115,CU0012,C0177,2022-11-25,1,95355.82,Credit,Christina Jones
S00116,CU0130,C0364,2024-10-09,3,86214.49,Credit,Melanie Henry
S00117,CU1620,C0482,2023-12-14,1,33097.6,Credit,Brenda Jackson
S00118,CU0581,C0229,2024-03-31,2,96006.27,Cash,Julia Reed
S00119,CU1861,C0450,2025-10-07,1,99843.72,Credit,Carrie Alexander
S00120,CU0525,C0369,2025-04-17,2,94426.61,Cash,Susan Gonzalez
S00121,CU1702,C0081,2025-07-17,2,76534.12,Credit,Amanda Owens
S00122,CU0634,C0070,2024-08-26,1,21252.96,Installment,Lori Wallace
S00123,CU0587,C0364,2023-06-05,2,30091.31,Installment,Jessica Alvarez
S00124,CU0257,C0450,2024-07-05,3,31278.23,Credit,Scott Woodard
S00125,CU0191,C0082,2023-03-09,3,74120.92,Credit,Sue Nichols
S00126,CU1605,C0127,2024-11-29,1,28003.47,Installment,Kylie Huang
S00127,CU1585,C0325,2023-11-12,2,19639.54,Cash,Joseph Garcia
S00128,CU1406,C0194,2025-06-11,1,87405.26,Installment,Kimberly Watts
S00129,CU1936,C0453,2025-03-29,3,98471.34,Credit,Russell Mathews
S00130,CU0907,C0073,2023-08-14,3,73368.03,Installment,Lynn Lee
S00131,CU1117,C0489,2024-04-07,3,88378.83,Credit,Monique Harrington
S00132,CU1675,C0426,2023-01-12,3,36629.54,Credit,Richard Conley
S00133,CU1234,C0481,2024-12-27,2,84335.99,Credit,Jennifer Lester
S00134,CU1471,C0053,2023-09-14,3,57068.42,Credit,Joshua George MD
S00135,CU1381,C0402,2024-04-06,3,31322.8,Cash,Jessica Jones
S00136,CU1777,C0246,2024-05-07,2,60421.01,Installment,Jessica Gibson
S00137,CU1460,C0071,2025-06-02,3,37738.35,Cash,Dr. William Jones
S00138,CU0123,C0278,2023-05-30,1,51153.63,Installment,Sandra Stanley
S00139,CU0586,C0313,2025-02-14,1,81499.6,Credit,Stephanie Cummings
S00140,CU0908,C0257,2025-07-12,1,55077.52,Installment,Alexis Nixon
S00141,CU1887,C0440,2025-05-15,3,74575.48,Credit,Bryan Anderson
S00142,CU1340,C0393,2023-03-25,1,96701.76,Cash,Christopher Alvarez
S00143,CU1259,C0418,2023-11-17,1,47008.17,Installment,Corey Hernandez
S00144,CU1467,C0493,2024-06-27,1,67409.98,Installment,Kevin Flynn
S00145,CU0037,C0251,2023-02-04,2,17034.1,Credit,Kristina Johnson
S00146,CU0832,C0363,2023-05-10,2,49368.54,Installment,David Chaney
S00147,CU0538,C0008,2024-10-21,2,77450.98,Installment,Melissa Thompson
S00148,CU1969,C0485,2023-03-20,1,68902.0,Credit,Mrs. Maria Alvarado
S00149,CU1340,C0217,2024-12-02,1,76280.51,Credit,Bill Zavala
S00150,CU0605,C0150,2024-06-27,1,92640.78,Installment,Robert Underwood
S00151,CU0014,C0045,2023-07-05,3,85084.9,Cash,Jocelyn Nunez
S00152,CU0416,C0062,2023-10-11,3,97691.52,Cash,Mark Hunt
S00153,CU1143,C0225,2024-07-10,2,93062.87,Credit,Sarah Buchanan
S00154,CU0586,C0442,2024-04-20,2,50810.92,Installment,Douglas Haynes
S00155,CU0214,C0166,2025-05-20,3,57897.94,Cash,Keith Cardenas
S00156,CU0102,C0042,2024-02-29,1,58653.67,Cash,Richard Hunter Jr.
S00157,CU1571,C0095,2024-11-20,2,65985.11,Cash,Lauren White
S00158,CU0540,C0032,2023-04-29,3,25054.35,Installment,Danielle Espinoza
S00159,CU1829,C0083,2022-11-20,3,82460.78,Credit,Nicole Hunter
S00160,CU0627,C0141,2024-06-18,2,98225.17,Cash,Michele Harris
S00161,CU1729,C0294,2024-03-20,2,65501.75,Installment,Jill Jimenez
S00162,CU1775,C0463,2023-01-17,2,18968.27,Installment,Megan Montgomery
S00163,CU1102,C0236,2024-03-17,1,65455.57,Cash,Carolyn Morton
S00164,CU1496,C0455,2024-08-20,1,56207.1,Installment,Colin Myers
S00165,CU0486,C0399,2025-07-07,2,24579.84,Installment,Paula Crawford
S00166,CU1440,C0393,2023-04-29,1,58355.31,Cash,Russell Pitts
S00167,CU0715,C0025,2025-09-15,2,43929.83,Cash,Melissa Choi
S00168,CU0194,C0219,2025-03-12,1,71957.81,Installment,Savannah Miller
S00169,CU0781,C0397,2023-02-24,2,35900.57,Installment,Gary Hampton
S00170,CU0885,C0128,2023-04-04,1,92358.78,Cash,David Webster
S00171,CU0620,C0104,2024-07-16,3,78697.96,Credit,Dustin Lee
S00172,CU0182,C0039,2023-04-01,1,15656.34,Credit,Susan Harris
S00173,CU0614,C0100,2025-07-28,3,26130.74,Credit,John Mcgee
S00174,CU1584,C0038,2023-01-29,3,89450.49,Credit,Derek Wolf
S00175,CU1259,C0352,2025-06-09,1,72630.52,Credit,Cassandra Salazar
S00176,CU0595,C0089,2023-05-16,2,58554.62,Credit,Maria Holmes
S00177,CU1976,C0358,2024-03-19,2,31921.01,Installment,Cheyenne Carey
S00178,CU1627,C0243,2023-08-09,3,92384.57,Installment,Brian Rocha
S00179,CU1486,C0222,2025-03-05,3,24468.01,Cash,Rachel Guerrero
S00180,CU0201,C0311,2024-02-05,3,97186.43,Installment,James Watts
S00181,CU0357,C0306,2025-08-17,1,40461.51,Installment,Samuel Reynolds
S00182,CU1865,C0265,2025-03-24,1,29627.66,Installment,Robert Jackson
S00183,CU0263,C0301,2023-07-27,2,99653.32,Credit,George Jenkins
S00184,CU0993,C0147,2024-11-20,3,22578.38,Cash,Jose House
S00185,CU0549,C0484,2024-10-28,1,91528.99,Installment,Mario Bowers
S00186,CU0361,C0019,2024-06-03,1,24361.87,Installment,Kimberly Smith
S00187,CU1192,C0111,2023-12-27,3,39245.73,Installment,Jennifer Stevenson
S00188,CU0357,C0165,2025-06-24,1,37557.28,Credit,Jennifer Hayden
S00189,CU1221,C0286,2023-09-10,3,75211.87,Credit,Joshua Maldonado
S00190,CU1655,C0298,2025-06-25,2,64748.15,Cash,John Turner
S00191,CU1545,C0223,2025-02-22,3,86966.0,Installment,Mr. Steve Wallace
S00192,CU0377,C0288,2022-12-23,2,78737.35,Installment,Mark Hensley
S00193,CU0086,C0196,2024-08-06,3,49142.83,Cash,Brian Wright
S00194,CU0319,C0443,2022-12-06,2,29859.89,Cash,Scott Sharp
S00195,CU1296,C0099,2024-09-28,2,54510.64,Installment,Andrew Todd
S00196,CU1409,C0163,2024-10-21,3,22083.27,Cash,Rachel Garcia
S00197,CU0412,C0102,2024-08-03,3,73169.5,Credit,Ellen Smith
